Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Astralis,Last 3 Months,https://www.hltv.org/stats/teams/6665/astralis?startDate=all&csVersion=CS2,52,30,0,22,3589,3618,1081,0.99
Astralis,Last 6 Months,https://www.hltv.org/stats/teams/6665/astralis?startDate=all&csVersion=CS2,94,52,0,42,6501,6537,1960,0.99
Astralis,Last 12 Months,https://www.hltv.org/stats/teams/6665/astralis?startDate=all&csVersion=CS2,194,100,0,94,13523,13678,4099,0.99
HEROIC,Last Month,https://www.hltv.org/stats/teams/7175/heroic?startDate=all&csVersion=CS2,20,6,0,14,1318,1500,425,0.88
HEROIC,Last 3 Months,https://www.hltv.org/stats/teams/7175/heroic?startDate=all&csVersion=CS2,56,24,0,32,3775,3925,1167,0.96
HEROIC,Last 6 Months,https://www.hltv.org/stats/teams/7175/heroic?startDate=all&csVersion=CS2,97,48,0,49,6757,6774,2048,1.00
HEROIC,Last 12 Months,https://www.hltv.org/stats/teams/7175/heroic?startDate=all&csVersion=CS2,189,92,0,97,13332,13597,4036,0.98
B8,Last Month,https://www.hltv.org/stats/teams/11241/b8?startDate=all&csVersion=CS2,22,13,0,9,1665,1747,507,0.95
B8,Last 3 Months,https://www.hltv.org/stats/teams/11241/b8?startDate=all&csVersion=CS2,80,43,0,37,5756,5732,1713,1.00
B8,Last 6 Months,https://www.hltv.org/stats/teams/11241/b8?startDate=all&csVersion=CS2,98,49,0,49,7186,7232,2146,0.99
B8,Last 12 Months,https://www.hltv.org/stats/teams/11241/b8?startDate=all&csVersion=CS2,181,89,0,92,13036,13198,3921,0.99
BetBoom,Last Month,https://www.hltv.org/stats/teams/12394/betboom?startDate=all&csVersion=CS2,17,10,0,7,1138,1101,343,1.03
BetBoom,Last 3 Months,https://www.hltv.org/stats/teams/12394/betboom?startDate=all&csVersion=CS2,56,35,0,21,3969,3760,1160,1.06
BetBoom,Last 6 Months,https://www.hltv.org/stats/teams/12394/betboom?startDate=all&csVersion=CS2,144,92,0,52,10677,9961,3096,1.07
BetBoom,Last 12 Months,https://www.hltv.org/stats/teams/12394/betboom?startDate=all&csVersion=CS2,292,182,0,110,21784,20355,6332,1.07
Liquid,Last Month,https://www.hltv.org/stats/teams/5973/liquid?startDate=all&csVersion=CS2,21,8,0,13,1433,1498,441,0.96
Liquid,Last 3 Months,https://www.hltv.org/stats/teams/5973/liquid?startDate=all&csVersion=CS2,53,20,0,33,3826,4008,1166,0.95
Liquid,Last 6 Months,https://www.hltv.org/stats/teams/5973/liquid?startDate=all&csVersion=CS2,81,32,0,49,5860,6114,1791,0.96
Liquid,Last 12 Months,https://www.hltv.org/stats/teams/5973/liquid?startDate=all&csVersion=CS2,185,84,0,101,13186,13619,4024,0.97
Imperial,Last Month,https://www.hltv.org/stats/teams/9455/imperial?startDate=all&csVersion=CS2,13,5,0,8,952,937,288,1.02
Imperial,Last 3 Months,https://www.hltv.org/stats/teams/9455/imperial?startDate=all&csVersion=CS2,60,33,0,27,4366,4198,1301,1.04
Imperial,Last 6 Months,https://www.hltv.org/stats/teams/9455/imperial?startDate=all&csVersion=CS2,119,65,0,54,8820,8474,2600,1.04
Imperial,Last 12 Months,https://www.hltv.org/stats/teams/9455/imperial?startDate=all&csVersion=CS2,243,147,0,96,18011,17035,5264,1.06
The MongolZ,Last Month,https://www.hltv.org/stats/teams/6248/the-mongolz?startDate=all&csVersion=CS2,23,12,0,11,1858,1837,556,1.01
The MongolZ,Last 3 Months,https://www.hltv.org/stats/teams/6248/the-mongolz?startDate=all&csVersion=CS2,59,34,0,25,4449,4471,1340,1.00
The MongolZ,Last 6 Months,https://www.hltv.org/stats/teams/6248/the-mongolz?startDate=all&csVersion=CS2,87,46,0,41,6330,6438,1910,0.98
The MongolZ,Last 12 Months,https://www.hltv.org/stats/teams/6248/the-mongolz?startDate=all&csVersion=CS2,199,110,0,89,14895,14818,4443,1.01
Monte,Last Month,https://www.hltv.org/stats/teams/11811/monte?startDate=all&csVersion=CS2,11,4,0,7,651,757,221,0.86
Monte,Last 3 Months,https://www.hltv.org/stats/teams/11811/monte?startDate=all&csVersion=CS2,49,26,0,23,3305,3321,1030,1.00
