Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
noway,9783,5233.905,0.6861411137606958,0.3670854958619722,14258
Xant3r,10163,5792.91,0.6639879785704952,0.37847314778518226,15306
VLDN,7814,4407.096,0.6545485005863628,0.36916535433070863,11938
Roninbaby,3138,1829.454,0.7311276794035415,0.42624743709226465,4292
tom1jed,6467,4397.56,0.7047733217088056,0.47924585876198783,9176
diozera,4872,2738.0640000000003,0.6943138093202224,0.390204360837965,7017
Dragon,9419,5020.326999999999,0.7185688129386634,0.38299717729630756,13108
Misfit,3362,1096.0120000000002,0.6857026310422191,0.22353905771976346,4903
KalubeR,4106,2204.922,0.6977060322854716,0.3746681393372982,5885
910,8233,2815.686,0.7125054089138901,0.24367684984855043,11555
Mokuj1n,6317,3588.0559999999996,0.6668426052992716,0.3787665998099862,9473
iM,6879,3171.219,0.7001526717557252,0.3227703816793893,9825
hypex,5983,2494.911,0.683849582809464,0.28516527603154646,8749
slump,3653,1377.181,0.7134765625,0.2689806640625,5120
bl1x1,11804,7471.932,0.6614738021854861,0.4187129167834127,17845
CRUC1AL,6592,2116.032,0.7225693302641675,0.23194475501479778,9123
4X1s,4585,2452.975,0.6948022427640551,0.3717191998787695,6599
olimp,8571,4482.633,0.6792677127912506,0.35525701378982405,12618
jcobbb,5721,3712.929,0.692112267118316,0.4491808613597871,8266
Anlelele,10951,5179.823,0.6934962953581154,0.3280237477043886,15791
hallzerk,5402,2182.408,0.6885036961509049,0.2781554932449656,7846
Grim,6376,3264.512,0.7137579760438822,0.36544408373446774,8933
mantuu,8549,2701.4840000000004,0.7086372679045093,0.22392937665782497,12064
khaN,11227,3985.585,0.7182062436028659,0.25496321647901743,15632
realz1n,4312,2350.04,0.654126213592233,0.356498786407767,6592
sjuush,8236,4315.664,0.6734810695886826,0.3529040804644697,12229
cronuss,5629,3197.272,0.707605279698303,0.40191979886863605,7955
moonwalk,5337,3308.94,0.6803059273422563,0.4217896749521989,7845
kade0,4163,2181.412,0.6701545396007726,0.3511609787508049,6212
stavn,4806,2186.73,0.7033513829942925,0.32002487926240303,6833
NickyB,3129,1627.08,0.6729032258064516,0.3499096774193548,4650
zont1x,5782,2266.5440000000003,0.6469008726784515,0.25358514208995303,8938
adamS,7493,3079.623,0.6847925424968013,0.28144973496618536,10942
BOROS,5177,3520.36,0.7549948957269943,0.5133965290943562,6857
mezii,6392,3669.008,0.6395197598799399,0.36708434217108554,9995
Neityu,10739,5820.5380000000005,0.6731649219582524,0.3648553877013728,15953
Fessor,3962,2393.048,0.7163261616344242,0.4326610016271921,5531
Botpa1,3240,1924.56,0.6874602164226608,0.40835136855506043,4713
nota,8974,5276.7119999999995,0.6931870848138421,0.4075940058705391,12946
jackasmo,12071,7411.594,0.6943741371375978,0.42634572020248507,17384
kmrn,4160,2196.48,0.6849991766836818,0.36167956528898404,6073
pavv,3842,2078.522,0.6985454545454546,0.3779130909090909,5500
2high,4983,2396.8230000000003,0.6685001341561577,0.3215485645291119,7454
SaVage,3517,2089.098,0.652746844840386,0.3877316258351893,5388
ZEDKO,9371,5866.246,0.6861180260653097,0.42950988431688386,13658
pepe,4262,2395.244,0.6795280612244898,0.3818947704081633,6272
cptkurtka023,10931,6416.497,0.6862326574172892,0.40281856990394876,15929
teme,6504,3577.2,0.6708612686952037,0.368973697782362,9695
damyo,5658,3055.32,0.7143037495265749,0.38572402474435047,7921
sowalio,8874,5084.802,0.6770428015564203,0.3879455252918288,13107
Sdaim,13067,7604.994000000001,0.6727591000360398,0.3915457962209752,19423
nawwk,9799,3919.6,0.696100021311359,0.2784400085245436,14077
Peeping,8122,4621.418,0.7050347222222222,0.4011647569444444,11520
nacho,5025,3040.125,0.68722647702407,0.41577201859956237,7312
